章节,分组,题型,题号,题目,选项A,选项B,选项C,选项D,选项E,选项F,答案
第三章,章节测验,单选题,,随着(  )和(  )技术的发展，人口激增，定居聚落产生，为早期的中华文化圈的孕育准备了条件。,农业、制陶,畜牧业、制陶,农业、制作,畜牧业、制作,,,A
第三章,章节测验,单选题,,距今(  )多年，“南稻北粟”的谷物种植，伴以猪、狗等动物的驯化饲养使稳定的农业体系初步形成。,4000,10000,6000,8000,,,D
第三章,章节测验,单选题,,(   )文化对渭河流域、汉水上游、冀南豫北地区、黄河下游的海岱地区产生了强烈的影响，并将这些文化区初步联系成一个相对的文化统一体。“早期的中华文化圈”开始萌芽。,裴李岗,齐家,龙山,红山,,,A
第三章,章节测验,单选题,,** 长江中游澧阳平原的(  )文化，以圜底钵、盆型釜、双耳罐等为主要陶器组合，在稻作农业基础上，发展出大规模的环壕聚落。,龙山,裴李岗,彭头山,齐家,,,C
第三章,章节测验,单选题,,** 长江下游的(  )文化，以釜、罐、盆、钵、圆足盘等为主要陶器组合，拍印绳纹的釜类器最具特色。,跨湖桥,裴李岗,彭头山,红山,,,A
第三章,章节测验,单选题,,距今(   )年前后，长江中下游与华北地区史前农业文化生态系统完全建成，农业快速发展与传播，人口与聚落急剧增长。,5000,8900,6000,8000,,,C
第三章,章节测验,单选题,,早期中华文化圈是一个有中心、有主体、有层次的多元一体结构。以(  )豫西及(  )东部为中心区，出现了数十个上百万平方米的大型中心聚落、数百平方米的宫殿式建筑。,晋西南、豫南,晋东南、豫北,晋西南、关中,晋东南、陕南,,,C
第三章,章节测验,单选题,,新疆在(  )万年前就有人类活动。,5万年,4万年,6万年,1万年,,,A
第三章,章节测验,单选题,,距今(  )年前后，中华大地陆续出现了许多政治中心和早期国家，进入邦国林立的“古国时代”。,4300,5300,6300,5000,,,B
第三章,章节测验,单选题,,在距今约(  )年的龙山时代末期，伴随着跨区域的文化整合，一些区域性文化中心逐步衰落。占据核心区位的中原龙山文化在与周边文化的大规模整合中脱颖而出，进入了具有统一性质的广域王权国家阶段。,4100,4300,4000,4600,,,A
第三章,章节测验,单选题,,** 中华文明流而不断，(  )性是最为鲜明且最为基础的特质。,演化,连续,共享,创新,,,B
第三章,章节测验,单选题,,** （   ）性是中华文明保持连续性和活力的重要因素,创新,演化,共享,共商,,,A
第三章,章节测验,单选题,,已出土的众多旧石器时代的古人类化石显示，诸如失状嵴、印加骨、朝向前方的颧骨、塌的鼻骨等体制特征，构成了区别于(  )、(  )的东亚地区人类的颅骨形态。,欧洲、非洲,欧洲、大洋洲,北美洲、欧洲,欧洲、南美洲,,,A
第三章,章节测验,单选题,,** 以(  )为代表的原始人，是中国迄今发现的早期直立人类型的代表,北京人,元谋人,蓝田人,山顶洞人,,,B
第三章,章节测验,单选题,,距今( )万年左右，长江下游地区和华北山麓地带的中华先民率先进入新石器时代，磨制石器、陶器以及明显的农业与定居迹象出现了,1,2,3,4,,,A
第三章,章节测验,单选题,,距今约(  )年，中原大地农业初步发展，定居聚落增多、联系加强，形成了一定范围的文化区。,9000,8000,1万,2万,,,B
第三章,章节测验,单选题,,** 下列哪项技术不是史前人类用来发展定居生活的重要工具?(   ),农业,制陶,狩猎,建筑,,,C
第三章,章节测验,单选题,,** 以下哪个地区的文化最早对中华文明产生了深远影响?(   ),中亚文化,东北亚文化,中原文化,西域文化,,,C
第三章,章节测验,单选题,,距今约( )年前，中国黄河流域出现了仰韶文化，标志着新石器时代文化的高峰。,5000,8000,7000,9000,,,B
第三章,章节测验,单选题,,** 哪个流域的文化被认为是中华文明的摇篮?(   ),长江流域,珠江流域,黄河流域,黑龙江流域,,,C
第三章,章节测验,单选题,,** 中国历史上的哪个文化遗址以精美的玉器而著称?(   ),红山文化,龙山文化,良渚文化,齐家文化,,,C
第三章,章节测验,单选题,,** 下列哪个遗址是史前时期中国南方稻作文化的重要代表?(  ),河姆渡遗址,半坡遗址,元谋人遗址,山顶洞人遗址,,,A
第三章,章节测验,单选题,,** 以下哪个时期是中华文明从起源到成熟的关键时期?(  ),旧石器时代,新石器时代,青铜时代,铁器时代,,,B
第三章,章节测验,单选题,,** 中华文明的连续性主要得益于什么?(  ),地理环境,政治制度,文化传承,经济发展,,,C
第三章,章节测验,单选题,,** 中华文明中的哪个特质体现了多元一体的文化结构?(  ),包容性,连续性,创新性,统一性,,,A
第三章,章节测验,单选题,,** 距今5000年左右，各地出现复杂的社会组织和建立在血缘基础上的政治共同体，中华文明正式形成，进入万邦林立的(   )阶段。,古国文明,华夏文明,古代文明,中华文明,,,A
第三章,章节测验,单选题,,** 距今8000多年，“(  )”的谷物种植，伴以猪、狗等动物的驯化饲养，使稳定的农业体系初步形成。,南粟北稻,南稻北粟,东稻西粟,西稻东粟,,,B
第三章,章节测验,单选题,,** 夏王朝的建立是史前文化从诞生到“(  )”形成，再到中华文明起源，最后统一于广域王权国家的结果。,文明古国,新石器时代,旧石器时代,早期中华文化圈,,,D
第三章,章节测验,单选题,,** 肇始于约9000年前的玉器，由实用装饰品发展为用于巫术、祭祀的“神玉”，再演变为具有礼仪功能的(  )，后在儒家、道家等文化的影响下形成延续至今的中国特色用玉文化。,王玉,龙玉,圣玉,青玉,,,A
第三章,章节测验,单选题,,** 自新石器时代以来，南北方人群之间通过迁徙互动与基因融合，形成了“(  )”的基本遗传格局，反映出我国近万年来主体人群的连续性。,相互独立、互不干涉,泛泛之交，分庭抗礼,你中有我、我中有你,各据一方，互不往来,,,C
第三章,章节测验,多选题,,** 以下哪些技术的发展对早期中华文化圈的孕育起到了重要作用?( ),农业,制陶,畜牧业,冶炼,,,AB
第三章,章节测验,多选题,,** 下列哪些文化对渭河流域及周边地区产生了显著影响?( ),裴李岗文化,齐家文化,龙山文化,红山文化,,,ABC
第三章,章节测验,多选题,,** 以下哪些地区的史前农业文化生态系统在距今一定年限前已完全建成?( ),长江中下游,华北地区,东北地区,西南地区,,,AB
第三章,章节测验,多选题,,** 中华文明有哪些特质?( ),演化性,连续性,共享性,创新性,,,BCD
第三章,章节测验,多选题,,** 早期中华文化圈作为一个多元一体结构，具有哪些特征?( ),有中心,有主体,有层次,有单一性,,,ABC
第三章,章节测验,多选题,,** 伟大祖国拥有连续不断的(  )。,百万年人类史,一万年文化史,五千多年文明史,数千年的环境史,,,ABC
第三章,章节测验,多选题,,"距今4100年前后，大禹“征三苗”“划九州”,完成了中原地区的政治统一，政治上的“中国”形成。政治统一推动了更大范围的文化统一，以(  )为载体的礼制文明传至今天中国的大部分地区，影响至今。",牙璋,酒器,金器,陶罐,,,AB
第三章,章节测验,多选题,,新石器时代以来，西方的小麦、大麦等植物，山羊、绵羊、 黄牛、马、骆驼等动物，(  )等文化要素陆续传入中华大地。,陶器,青铜技术,权杖头,金器,,,BCD
第三章,章节测验,多选题,,** 史前时期，中华大地的(  )等经济形态不断互动与演进，各区域文化不断交流互融，各族群不断迁徙交融，共同塑造了中华文明与中华民族多元一体的起源特征和发展格局。,农耕,渔猎,畜牧,手工,,,ABC
第三章,章节测验,多选题,,** 裴李岗文化对(  )产生了强烈影响，并将这些文化区初步联系成一个相对的文化统一体，“早期中华文化圈”或“文化上的早期中国”开始萌芽。,渭河流域,汉水上游,冀南豫北地区,黄河下游的海岱地区,,,ABCD
第三章,章节测验,判断题,,** 早在约100万年前，中华大地就有了古人类活动的痕迹。,,,,,,,错
第三章,章节测验,判断题,,** 从旧石器时代到新石器时代，中华民族早期先民的石器加工技术逐步从粗制走向精制。,,,,,,,错
第三章,章节测验,判断题,,** 随着农业和制陶技术的发展，人口激增，定居聚落产生，为早期的中华文化圈的孕育准备了条件。,,,,,,,对
第三章,章节测验,判断题,,距今8000多年，“南稻北粟”的谷物种植，伴以猪、狗等动物的驯化饲养使稳定的农业体系初步形成。,,,,,,,对
第三章,章节测验,判断题,,龙山文化对渭河流域、汉水上游、冀南豫北地区、黄河下游的海岱地区产生了强烈的影响，并将这些文化区初步联系成一个相对的文化统一体。“早期的中华文化圈”开始萌芽。,,,,,,,对
第三章,章节测验,判断题,,距今约4100年，周王朝建立，开启了具有“一统”观念雏形的“王国”时代，标志着万千邦国族属进一步汇聚交融的新起点。,,,,,,,错
